name	age	gender	height	weight
Kate	12	F	146	42.2
Lose	12	F	150	55.4
Jane	12	F	136	33.2
Sophia	12	F	163	65
Grace	12	F	128	28.7
Tom	12	M	148	38
James	12	M	150	58
Sun	12	M	126	35.9
Barb	13	F	148	50.6
Alice	13	F	150	47.9
Susan	13	F	138	30.1
John	13	M	160	44.5
Joe	13	M	155	46.9
Mike	13	M	143	42.6
David	13	M	146	35.2
Judy	14	F	150	36.8
Kitty	14	F	153	40.7
Leslie	14	F	160	64.1
Carol	14	F	155	37.7
Patty	14	F	153	38.5
Fred	14	M	155	42.2
Alfred	14	M	158	44
Henry	14	M	160	53.6
Lewis	14	M	158	41.3
Edward	14	M	168	49.8
Chris	14	M	158	44.3
Jeff	14	M	170	50.6
Mary	15	F	153	41.8
Amy	15	F	158	50
Robert	15	M	165	57.1
William	15	M	160	50.2
Gray	15	M	163	47.3
Mark	15	M	153	46.3
Danny	15	M	163	47.4
Martha	16	F	160	49.9
Marian	16	F	148	52
Phillip	16	M	168	57.8
Linda	17	F	153	52.4
Kid	17	M	168	60.3
Lawrence	17	M	173	72.8
