Name	Score	Sex	Group
Caucy	3	M	Summer
Mike	3.5	M	Summer
Janet	4	F	Summer
Jeffrey	2	F	Summer
John	5	M	Summer
Philip	3	M	Summer
Robert	2	M	Summer
Thomas	4.5	M	Summer
Willian	2	M	Summer
Sharon	3	F	Summer
Tammy	5	M	Summer
Alfred	4	M	Summer
Karen	3.5	F	Summer
Kathy	3.5	F	Summer
Mary	5	F	Winter
Sandy	3.5	F	Winter
Kevin	3	M	Winter
Danice	4	M	Winter
Duke	4.5	M	Winter
Guido	4.5	M	Winter
James	5	M	Winter
Alice	2	F	Winter
Becksa	3.5	F	Winter
Gall	2	F	Winter
Jean	2	F	Winter
Joe	3	M	Winter
Sammi	5	F	Winter
